hour,concurrent_util,avg_concurrent_sessions,tariff_regime,dynamic_tariff_Rs
0,0.491368487131199,26.533898305084747,Surge,17.06842435655995
1,0.3888888888888889,21.0,Base,15.0
2,0.29637476459510353,16.00423728813559,Base,15.0
3,0.23626804770872567,12.758474576271187,Base,15.0
4,0.185969868173258,10.042372881355933,Base,15.0
5,0.15034526051475205,8.11864406779661,Base,15.0
6,0.11260200878844946,6.080508474576271,Discount,14.075251098556183
7,0.09565285624607658,5.165254237288136,Discount,11.956607030759574
8,0.09055241682360327,4.889830508474576,Discount,11.319052102950408
9,0.08678593848085374,4.686440677966102,Discount,10.848242310106716
10,0.0852165725047081,4.601694915254237,Discount,10.652071563088512
11,0.09110169491525424,4.919491525423729,Discount,11.387711864406782
12,0.09322033898305085,5.033898305084746,Discount,11.652542372881356
13,0.11833019460138104,6.389830508474576,Discount,14.791274325172632
14,0.18188951663527936,9.822033898305085,Base,15.0
15,0.36220966729441306,19.559322033898304,Base,15.0
16,0.5010200878844947,27.055084745762713,Surge,17.551004394224737
17,0.5519460138104206,29.805084745762713,Surge,20.097300690521035
18,0.5732893910860013,30.95762711864407,Surge,21.164469554300066
19,0.5842749529190207,31.550847457627114,Surge,21.71374764595103
20,0.5909447583176397,31.911016949152543,Surge,22.047237915881986
21,0.5804300062774639,31.34322033898305,Surge,21.521500313873194
22,0.5741525423728814,31.004237288135595,Surge,21.20762711864407
23,0.5574387947269304,30.10169491525424,Surge,20.37193973634652
