sessionID,conn_dt,disc_dt,hour,dow,is_weekend,kWh,session_h,charging_h,idle_h,est_util,dyn_tariff,tariff_regime,rev_fixed,rev_dynamic,tariff_chg_pct,demand_resp_pct,adj_kWh
2_39_78_362_2018-04-25 11:08:04.400812,2018-04-25 11:08:04+00:00,2018-04-25 13:20:10+00:00,11,2,0,7.932,2.2016666666666667,2.2016666666666667,0.0,0.09110169491525424,11.387711864406782,Discount,118.98,90.3273305084746,-24.08192090395479,7.224576271186436,8.50505338983051
2_39_95_27_2018-04-25 13:45:09.617470,2018-04-25 13:45:10+00:00,2018-04-26 00:56:16+00:00,13,2,0,10.013,11.185,2.984722222222222,8.200277777777778,0.11833019460138104,14.791274325172632,Discount,150.195,148.10502981795355,-1.3915044988491232,0.41745134965473696,10.05479940364093
2_39_79_380_2018-04-25 13:45:49.962001,2018-04-25 13:45:50+00:00,2018-04-25 23:04:45+00:00,13,2,0,5.257,9.315277777777778,1.0983333333333334,8.216944444444445,0.11833019460138104,14.791274325172632,Discount,78.85499999999999,77.75772912743251,-1.3915044988491232,0.41745134965473696,5.278945417451349
2_39_79_379_2018-04-25 14:37:06.460772,2018-04-25 14:37:06+00:00,2018-04-25 23:55:34+00:00,14,2,0,5.177,9.307777777777778,1.471111111111111,7.836666666666667,0.18188951663527936,15.0,Base,77.655,77.655,0.0,-0.0,5.177
2_39_79_381_2018-04-25 14:40:33.638896,2018-04-25 14:40:34+00:00,2018-04-25 23:03:12+00:00,14,2,0,10.119,8.377222222222223,2.9988888888888887,5.378333333333334,0.18188951663527936,15.0,Base,151.785,151.785,0.0,-0.0,10.119
2_39_139_28_2018-04-25 14:43:49.647430,2018-04-25 14:43:50+00:00,2018-04-26 01:17:30+00:00,14,2,0,7.91,10.561111111111112,1.5772222222222223,8.98388888888889,0.18188951663527936,15.0,Base,118.65,118.65,0.0,-0.0,7.91
2_39_91_441_2018-04-25 14:47:41.776352,2018-04-25 14:47:42+00:00,2018-04-25 18:27:51+00:00,14,2,0,15.294,3.6691666666666665,3.6666666666666665,0.0024999999999999467,0.18188951663527936,15.0,Base,229.41,229.41,0.0,-0.0,15.294
2_39_79_377_2018-04-25 14:58:25.255583,2018-04-25 14:58:25+00:00,2018-04-25 19:06:29+00:00,14,2,0,6.953,4.134444444444444,1.8344444444444445,2.3,0.18188951663527936,15.0,Base,104.295,104.295,0.0,-0.0,6.953
2_39_79_382_2018-04-25 15:10:51.871020,2018-04-25 15:10:52+00:00,2018-04-25 18:15:46+00:00,15,2,0,2.174,3.0816666666666666,0.9511111111111111,2.1305555555555555,0.36220966729441306,15.0,Base,32.61,32.61,0.0,-0.0,2.174
2_39_78_362_2018-04-25 15:12:10.901351,2018-04-25 15:12:11+00:00,2018-04-25 18:29:21+00:00,15,2,0,2.439,3.286111111111111,3.286111111111111,0.0,0.36220966729441306,15.0,Base,36.585,36.585,0.0,-0.0,2.439
2_39_78_366_2018-04-25 15:14:06.329009,2018-04-25 15:14:06+00:00,2018-04-25 18:33:30+00:00,15,2,0,6.955,3.3233333333333333,3.3205555555555555,0.002777777777777768,0.36220966729441306,15.0,Base,104.325,104.325,0.0,-0.0,6.955
2_39_91_437_2018-04-25 15:14:41.260754,2018-04-25 15:14:41+00:00,2018-04-26 02:26:03+00:00,15,2,0,3.249,11.189444444444444,1.0583333333333333,10.13111111111111,0.36220966729441306,15.0,Base,48.735,48.735,0.0,-0.0,3.249
2_39_78_361_2018-04-25 15:14:48.537248,2018-04-25 15:14:49+00:00,2018-04-25 23:52:50+00:00,15,2,0,2.72,8.633611111111112,1.4530555555555555,7.180555555555556,0.36220966729441306,15.0,Base,40.800000000000004,40.800000000000004,0.0,-0.0,2.72
2_39_78_360_2018-04-25 15:20:55.688491,2018-04-25 15:20:56+00:00,2018-04-25 23:49:32+00:00,15,2,0,2.575,8.476666666666667,0.7791666666666667,7.6975,0.36220966729441306,15.0,Base,38.625,38.625,0.0,-0.0,2.575
2_39_125_21_2018-04-25 15:30:31.466431,2018-04-25 15:30:31+00:00,2018-04-25 19:47:51+00:00,15,2,0,5.4,4.288888888888889,3.4072222222222224,0.8816666666666664,0.36220966729441306,15.0,Base,81.0,81.0,0.0,-0.0,5.4
2_39_78_365_2018-04-25 15:31:42.314475,2018-04-25 15:31:42+00:00,2018-04-26 00:57:15+00:00,15,2,0,4.929,9.425833333333333,2.9208333333333334,6.505,0.36220966729441306,15.0,Base,73.935,73.935,0.0,-0.0,4.929
2_39_127_19_2018-04-25 15:33:45.414350,2018-04-25 15:33:45+00:00,2018-04-26 00:42:15+00:00,15,2,0,4.043,9.141666666666667,2.2669444444444444,6.874722222222223,0.36220966729441306,15.0,Base,60.645,60.645,0.0,-0.0,4.043
2_39_79_383_2018-04-25 15:44:41.818763,2018-04-25 15:44:42+00:00,2018-04-26 00:41:45+00:00,15,2,0,2.49,8.950833333333334,1.9241666666666666,7.026666666666667,0.36220966729441306,15.0,Base,37.35,37.35,0.0,-0.0,2.49
2_39_89_25_2018-04-25 15:48:22.693006,2018-04-25 15:48:23+00:00,2018-04-26 00:32:18+00:00,15,2,0,5.95,8.731944444444444,2.2952777777777778,6.4366666666666665,0.36220966729441306,15.0,Base,89.25,89.25,0.0,-0.0,5.95
2_39_95_444_2018-04-25 15:51:20.521751,2018-04-25 15:51:21+00:00,2018-04-26 00:32:44+00:00,15,2,0,4.474,8.689722222222223,2.0919444444444446,6.597777777777778,0.36220966729441306,15.0,Base,67.11,67.11,0.0,-0.0,4.474
